route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
33,58,121668070,SHUTTLE PARK SOUTH,,6107,33:51
33,58,121669070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121670070,SHUTTLE PARK SOUTH,,5907,33:51
33,58,121614070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121615070,SHUTTLE PARK SOUTH,,5107,33:51
33,58,121616070,SHUTTLE PARK SOUTH,,5207,33:51
33,58,121617070,SHUTTLE PARK SOUTH,,5307,33:51
33,58,121618070,SHUTTLE PARK SOUTH,,5407,33:51
33,58,121619070,SHUTTLE PARK SOUTH,,5507,33:51
33,58,121608070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121609070,SHUTTLE PARK SOUTH,,5107,33:51
33,58,121610070,SHUTTLE PARK SOUTH,,5207,33:51
33,58,121611070,SHUTTLE PARK SOUTH,,5307,33:51
33,58,121612070,SHUTTLE PARK SOUTH,,5407,33:51
33,58,121613070,SHUTTLE PARK SOUTH,,5507,33:51
33,58,121602070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121603070,SHUTTLE PARK SOUTH,,5107,33:51
33,58,121604070,SHUTTLE PARK SOUTH,,5207,33:51
33,58,121605070,SHUTTLE PARK SOUTH,,5307,33:51
33,58,121606070,SHUTTLE PARK SOUTH,,5407,33:51
33,58,121607070,SHUTTLE PARK SOUTH,,5507,33:51
33,305,121422020,SHUTTLE PARK SOUTH,,6102,33:51
33,305,121423020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121424020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121425020,SHUTTLE PARK SOUTH,,6002,33:51
33,58,121600070,SHUTTLE PARK SOUTH,,5407,33:51
33,58,121601070,SHUTTLE PARK SOUTH,,5507,33:51
33,305,121416020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121417020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121418020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121419020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121420020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121421020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121410020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121411020,SHUTTLE PARK SOUTH,,6102,33:51
33,305,121412020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121413020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121414020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121415020,SHUTTLE PARK SOUTH,,6102,33:51
33,305,121404020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121405020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121406020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121407020,SHUTTLE PARK SOUTH,,6102,33:51
