shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1:01,35.00760,-85.31637,43000031,
1:01,35.00760,-85.31637,43000034,
1:01,35.00766,-85.31651,43000028,
1:01,35.00774,-85.31670,43000026,
1:01,35.00782,-85.31695,43000024,
1:01,35.00791,-85.31722,43000022,
1:01,35.00803,-85.31749,43000020,
1:01,35.00807,-85.32571,36000014,
1:01,35.00807,-85.32595,36000012,
1:01,35.00809,-85.32619,36000009,
1:01,35.00809,-85.32544,36000016,
1:01,35.00810,-85.32514,36000018,
1:01,35.00811,-85.32482,36000020,
1:01,35.00812,-85.31772,43000018,
1:01,35.00812,-85.32452,36000022,
1:01,35.00813,-85.32412,36000028,
1:01,35.00813,-85.32430,36000024,
1:01,35.00813,-85.32412,36000031,
1:01,35.00813,-85.32398,37000025,
1:01,35.00814,-85.32377,37000027,
1:01,35.00815,-85.32353,37000029,
1:01,35.00815,-85.32333,37000031,
1:01,35.00817,-85.32299,37000040,
1:01,35.00817,-85.32299,37000037,
1:01,35.00817,-85.32317,37000033,
1:01,35.00819,-85.32635,35000053,
1:01,35.00819,-85.32279,38000077,
1:01,35.00820,-85.32260,38000079,
1:01,35.00820,-85.31788,43000016,
1:01,35.00821,-85.32234,38000081,
1:01,35.00823,-85.32631,35000049,
1:01,35.00823,-85.32207,38000083,
1:01,35.00825,-85.32183,38000085,
1:01,35.00825,-85.32167,38000087,
1:01,35.00834,-85.32152,38000090,
1:01,35.00835,-85.31794,43000013,
1:01,35.00838,-85.32624,35000046,
1:01,35.00848,-85.31789,42000031,
1:01,35.00850,-85.32142,38000093,
1:01,35.00851,-85.31788,42000022,
1:01,35.00853,-85.32613,35000044,
1:01,35.00865,-85.32134,38000100,
1:01,35.00865,-85.32136,38000097,
1:01,35.00867,-85.31778,42000019,
1:01,35.00869,-85.32604,35000042,
1:01,35.00879,-85.32128,39000009,
1:01,35.00881,-85.31772,42000017,
1:01,35.00883,-85.32600,35000040,
1:01,35.00892,-85.32121,39000011,
1:01,35.00898,-85.32593,35000034,
1:01,35.00898,-85.31762,42000015,
1:01,35.00907,-85.32113,39000013,
1:01,35.00914,-85.31754,42000013,
1:01,35.00915,-85.32584,35000031,
1:01,35.00924,-85.32104,39000015,
1:01,35.00929,-85.31746,42000011,
1:01,35.00934,-85.32574,35000028,
1:01,35.00942,-85.31738,42000009,
1:01,35.00942,-85.32094,39000017,
1:01,35.00948,-85.32565,35000025,
1:01,35.00956,-85.31741,41000025,
1:01,35.00956,-85.31741,41000023,
1:01,35.00961,-85.32557,35000022,
1:01,35.00962,-85.31757,41000019,
1:01,35.00962,-85.32083,39000019,
1:01,35.00969,-85.31773,41000017,
1:01,35.00973,-85.32549,35000020,
1:01,35.00977,-85.31794,41000015,
1:01,35.00982,-85.32072,39000021,
1:01,35.00984,-85.31818,41000013,
1:01,35.00988,-85.32544,35000018,
1:01,35.00993,-85.31839,41000011,
1:01,35.01000,-85.32063,39000023,
1:01,35.01000,-85.31856,41000009,
1:01,35.01002,-85.32539,35000016,
1:01,35.01006,-85.31873,40000044,
1:01,35.01009,-85.31878,40000027,
1:01,35.01018,-85.31897,40000024,
1:01,35.01019,-85.32535,35000014,
1:01,35.01020,-85.32051,39000025,
1:01,35.01025,-85.31916,40000022,
1:01,35.01032,-85.31937,40000020,
1:01,35.01034,-85.32541,35000012,
1:01,35.01036,-85.32044,39000027,
1:01,35.01039,-85.31955,40000018,
1:01,35.01046,-85.32552,35000010,
